Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Balls Remaining,Winner,Valid Ball
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,1,1,MK Tiwary,BJ Hodge,WPUJC Vaas,0,0,0,[],1,caught,MK Tiwary,0,1,162,119,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,1,2,SC Ganguly,BJ Hodge,WPUJC Vaas,0,0,0,[],0,,,0,1,162,118,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,1,3,SC Ganguly,BJ Hodge,WPUJC Vaas,0,0,0,[],0,,,0,1,162,117,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,1,4,SC Ganguly,BJ Hodge,WPUJC Vaas,0,0,0,[],1,caught,SC Ganguly,0,2,162,116,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,1,5,CA Pujara,BJ Hodge,WPUJC Vaas,0,1,1,['legbyes'],0,,,1,2,162,115,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,1,6,BJ Hodge,CA Pujara,WPUJC Vaas,0,0,0,[],0,,,1,2,162,114,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,2,1,CA Pujara,BJ Hodge,RP Singh,0,0,0,[],0,,,1,2,162,113,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,2,2,CA Pujara,BJ Hodge,RP Singh,0,0,0,[],0,,,1,2,162,112,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,2,3,CA Pujara,BJ Hodge,RP Singh,4,0,4,[],0,,,5,2,162,111,Kolkata Knight Riders,1
419106,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,1,2,4,CA Pujara,BJ Hodge,RP Singh,0,0,0,[],0,,,5,2,162,110,Kolkata Knight Riders,1
