Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Balls Remaining,Winner,Valid Ball
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,1,F du Plessis,M Vijay,SL Malinga,0,1,1,['wides'],0,,,1,0,113,120,Mumbai Indians,0
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,1,F du Plessis,M Vijay,SL Malinga,0,0,0,[],0,,,1,0,113,119,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,2,F du Plessis,M Vijay,SL Malinga,3,0,3,[],0,,,4,0,113,118,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,3,M Vijay,F du Plessis,SL Malinga,0,0,0,[],0,,,4,0,113,117,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,4,M Vijay,F du Plessis,SL Malinga,0,0,0,[],1,run out,F du Plessis,4,1,113,116,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,5,SK Raina,M Vijay,SL Malinga,0,0,0,[],0,,,4,1,113,115,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,1,6,SK Raina,M Vijay,SL Malinga,1,0,1,[],0,,,5,1,113,114,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,1,SK Raina,M Vijay,AN Ahmed,1,0,1,[],0,,,6,1,113,113,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,2,M Vijay,SK Raina,AN Ahmed,0,1,1,['wides'],0,,,7,1,113,113,Mumbai Indians,0
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,2,M Vijay,SK Raina,AN Ahmed,0,0,0,[],0,,,7,1,113,112,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,3,M Vijay,SK Raina,AN Ahmed,0,0,0,[],0,,,7,1,113,111,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,4,M Vijay,SK Raina,AN Ahmed,0,0,0,[],0,,,7,1,113,110,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,5,M Vijay,SK Raina,AN Ahmed,1,0,1,[],0,,,8,1,113,109,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,2,6,SK Raina,M Vijay,AN Ahmed,1,0,1,[],0,,,9,1,113,108,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,1,SK Raina,M Vijay,SL Malinga,3,0,3,[],0,,,12,1,113,107,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,2,M Vijay,SK Raina,SL Malinga,0,0,0,[],0,,,12,1,113,106,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,3,M Vijay,SK Raina,SL Malinga,0,0,0,[],0,,,12,1,113,105,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,4,M Vijay,SK Raina,SL Malinga,0,0,0,[],0,,,12,1,113,104,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,5,M Vijay,SK Raina,SL Malinga,1,0,1,[],0,,,13,1,113,103,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,6,SK Raina,M Vijay,SL Malinga,0,1,1,['wides'],0,,,14,1,113,103,Mumbai Indians,0
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,3,6,SK Raina,M Vijay,SL Malinga,1,0,1,[],0,,,15,1,113,102,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,4,1,SK Raina,M Vijay,AN Ahmed,0,0,0,[],0,,,15,1,113,101,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,4,2,SK Raina,M Vijay,AN Ahmed,2,0,2,[],0,,,17,1,113,100,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,4,3,SK Raina,M Vijay,AN Ahmed,6,0,6,[],0,,,23,1,113,99,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,4,4,SK Raina,M Vijay,AN Ahmed,1,0,1,[],0,,,24,1,113,98,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,4,5,M Vijay,SK Raina,AN Ahmed,0,0,0,[],0,,,24,1,113,97,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,4,6,M Vijay,SK Raina,AN Ahmed,4,0,4,[],0,,,28,1,113,96,Mumbai Indians,1
548306,2012-04-04,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,1,5,1,SK Raina,M Vijay,Harbhajan Singh,1,0,1,[],0,,,29,1,113,95,Mumbai Indians,1
