Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Balls Remaining,Winner,Valid Ball
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,1,1,RG Sharma,CA Lynn,Mohammed Siraj,2,0,2,[],0,,,2,0,160,119,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,1,2,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,[],0,,,2,0,160,118,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,1,3,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,[],0,,,2,0,160,117,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,1,4,RG Sharma,CA Lynn,Mohammed Siraj,2,0,2,[],0,,,4,0,160,116,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,1,5,RG Sharma,CA Lynn,Mohammed Siraj,0,0,0,[],0,,,4,0,160,115,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,1,6,RG Sharma,CA Lynn,Mohammed Siraj,1,0,1,[],0,,,5,0,160,114,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,2,1,RG Sharma,CA Lynn,KA Jamieson,1,0,1,[],0,,,6,0,160,113,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,2,2,CA Lynn,RG Sharma,KA Jamieson,0,0,0,[],0,,,6,0,160,112,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,2,3,CA Lynn,RG Sharma,KA Jamieson,0,0,0,[],0,,,6,0,160,111,Royal Challengers Bangalore,1
1254058,2021-04-09,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,1,2,4,CA Lynn,RG Sharma,KA Jamieson,0,0,0,[],0,,,6,0,160,110,Royal Challengers Bangalore,1
