Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Balls Remaining,Winner,Valid Ball
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,1,1,LMP Simmons,RG Sharma,RP Singh,1,0,1,[],0,,,1,0,122,119,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,1,2,RG Sharma,LMP Simmons,RP Singh,0,0,0,[],0,,,1,0,122,118,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,1,3,RG Sharma,LMP Simmons,RP Singh,2,0,2,[],0,,,3,0,122,117,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,1,4,RG Sharma,LMP Simmons,RP Singh,4,0,4,[],0,,,7,0,122,116,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,1,5,RG Sharma,LMP Simmons,RP Singh,1,0,1,[],0,,,8,0,122,115,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,1,6,LMP Simmons,RG Sharma,RP Singh,0,0,0,[],0,,,8,0,122,114,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,1,RG Sharma,LMP Simmons,I Sharma,0,0,0,[],1,lbw,RG Sharma,8,1,122,113,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,2,HH Pandya,LMP Simmons,I Sharma,0,3,3,['wides'],0,,,11,1,122,113,Rising Pune Supergiants,0
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,2,HH Pandya,LMP Simmons,I Sharma,0,0,0,[],0,,,11,1,122,112,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,3,HH Pandya,LMP Simmons,I Sharma,0,0,0,[],0,,,11,1,122,111,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,4,HH Pandya,LMP Simmons,I Sharma,0,0,0,[],0,,,11,1,122,110,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,5,HH Pandya,LMP Simmons,I Sharma,0,1,1,['wides'],0,,,12,1,122,110,Rising Pune Supergiants,0
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,5,HH Pandya,LMP Simmons,I Sharma,0,0,0,[],0,,,12,1,122,109,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,2,6,HH Pandya,LMP Simmons,I Sharma,0,0,0,[],0,,,12,1,122,108,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,3,1,LMP Simmons,HH Pandya,RP Singh,0,0,0,[],0,,,12,1,122,107,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,3,2,LMP Simmons,HH Pandya,RP Singh,6,0,6,[],0,,,18,1,122,106,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,3,3,LMP Simmons,HH Pandya,RP Singh,1,0,1,[],0,,,19,1,122,105,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,3,4,HH Pandya,LMP Simmons,RP Singh,1,0,1,[],0,,,20,1,122,104,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,3,5,LMP Simmons,HH Pandya,RP Singh,0,0,0,[],0,,,20,1,122,103,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,3,6,LMP Simmons,HH Pandya,RP Singh,0,0,0,[],0,,,20,1,122,102,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,4,1,HH Pandya,LMP Simmons,I Sharma,4,0,4,[],0,,,24,1,122,101,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,4,2,HH Pandya,LMP Simmons,I Sharma,4,0,4,[],0,,,28,1,122,100,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,4,3,HH Pandya,LMP Simmons,I Sharma,0,0,0,[],0,,,28,1,122,99,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,4,4,HH Pandya,LMP Simmons,I Sharma,0,1,1,['legbyes'],0,,,29,1,122,98,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,4,5,LMP Simmons,HH Pandya,I Sharma,0,0,0,[],1,bowled,LMP Simmons,29,2,122,97,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,4,6,JC Buttler,HH Pandya,I Sharma,0,0,0,[],0,,,29,2,122,96,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,5,1,HH Pandya,JC Buttler,MR Marsh,0,0,0,[],1,caught,HH Pandya,29,3,122,95,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,5,2,AT Rayudu,JC Buttler,MR Marsh,0,0,0,[],0,,,29,3,122,94,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,5,3,AT Rayudu,JC Buttler,MR Marsh,0,0,0,[],0,,,29,3,122,93,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,5,4,AT Rayudu,JC Buttler,MR Marsh,0,0,0,[],0,,,29,3,122,92,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,5,5,AT Rayudu,JC Buttler,MR Marsh,1,0,1,[],0,,,30,3,122,91,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,5,6,JC Buttler,AT Rayudu,MR Marsh,0,0,0,[],1,caught,JC Buttler,30,4,122,90,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,1,AT Rayudu,KA Pollard,I Sharma,0,0,0,[],0,,,30,4,122,89,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,2,AT Rayudu,KA Pollard,I Sharma,1,0,1,[],0,,,31,4,122,88,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,3,KA Pollard,AT Rayudu,I Sharma,0,5,5,['wides'],0,,,36,4,122,88,Rising Pune Supergiants,0
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,3,KA Pollard,AT Rayudu,I Sharma,0,0,0,[],0,,,36,4,122,87,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,4,KA Pollard,AT Rayudu,I Sharma,0,1,1,['wides'],0,,,37,4,122,87,Rising Pune Supergiants,0
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,4,KA Pollard,AT Rayudu,I Sharma,0,0,0,[],0,,,37,4,122,86,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,5,KA Pollard,AT Rayudu,I Sharma,0,0,0,[],0,,,37,4,122,85,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,6,6,KA Pollard,AT Rayudu,I Sharma,0,0,0,[],0,,,37,4,122,84,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,1,AT Rayudu,KA Pollard,MR Marsh,1,0,1,[],0,,,38,4,122,83,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,2,KA Pollard,AT Rayudu,MR Marsh,0,0,0,[],0,,,38,4,122,82,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,3,KA Pollard,AT Rayudu,MR Marsh,0,0,0,[],0,,,38,4,122,81,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,4,KA Pollard,AT Rayudu,MR Marsh,1,0,1,[],0,,,39,4,122,80,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,5,AT Rayudu,KA Pollard,MR Marsh,0,0,0,[],0,,,39,4,122,79,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,6,AT Rayudu,KA Pollard,MR Marsh,0,1,1,['wides'],0,,,40,4,122,79,Rising Pune Supergiants,0
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,7,6,AT Rayudu,KA Pollard,MR Marsh,0,0,0,[],0,,,40,4,122,78,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,8,1,KA Pollard,AT Rayudu,R Bhatia,0,0,0,[],1,lbw,KA Pollard,40,5,122,77,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,8,2,S Gopal,AT Rayudu,R Bhatia,0,0,0,[],0,,,40,5,122,76,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,8,3,S Gopal,AT Rayudu,R Bhatia,0,0,0,[],0,,,40,5,122,75,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,8,4,S Gopal,AT Rayudu,R Bhatia,0,0,0,[],0,,,40,5,122,74,Rising Pune Supergiants,1
980901,2016-04-09,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,1,8,5,S Gopal,AT Rayudu,R Bhatia,0,0,0,[],0,,,40,5,122,73,Rising Pune Supergiants,1
